country,region,year,gdp
Argentina,South America,1960,15865474315
Australia,Oceania,1960,18635682982
Belgium,Europe,1960,11810619368
Brazil,South America,1960,17030465539
Canada,North America,1960,40563768947
China,Asia,1960,59846235025
Egypt,Africa,1960,4206270352
France,Europe,1960,61959085885
Germany,Europe,1960,84619845881
India,Asia,1960,37029883876
Iran,Middle East,1960,4199134390
Italy,Europe,1960,42012422612
Japan,Asia,1960,47419238274
Mexico,North America,1960,13040000000
Netherlands,Europe,1960,13282979015
Nigeria,Africa,1960,4196174502
Pakistan,Asia,1960,3749265015
Saudi Arabia,Middle East,1960,1748124064
South Africa,Africa,1960,8748596501
South Korea,Asia,1960,3973069307
Spain,Europe,1960,12424514014
Sweden,Europe,1960,15930075467
Switzerland,Europe,1960,10412232621
Thailand,Asia,1960,2760750861
Türkiye,Middle East,1960,7566666667
United Kingdom,Europe,1960,73233967692
United States,North America,1960,541988586207
Argentina,South America,1961,20132220375
Australia,Oceania,1961,19713123154
Belgium,Europe,1961,12561701694
Brazil,South America,1961,17275940449
Canada,North America,1961,41038192838
China,Asia,1961,50162299350
Egypt,Africa,1961,4494575611
France,Europe,1961,67158050215
Germany,Europe,1961,96558204043
India,Asia,1961,39232435784
Iran,Middle East,1961,4426949095
Italy,Europe,1961,46649487320
Japan,Asia,1961,57266758180
Mexico,North America,1961,14160000000
Netherlands,Europe,1961,14599836396
Nigeria,Africa,1961,4467287893
Pakistan,Asia,1961,4118647627
Saudi Arabia,Middle East,1961,1920811284
South Africa,Africa,1961,9225996310
South Korea,Asia,1961,2427244761
Spain,Europe,1961,14238126760
Sweden,Europe,1961,17329620585
Switzerland,Europe,1961,11713348834
Thailand,Asia,1961,3034037811
Türkiye,Middle East,1961,7988888889
United Kingdom,Europe,1961,77741965703
United States,North America,1961,561940310345
Argentina,South America,1962,18337691145
Australia,Oceania,1962,19953923193
Belgium,Europe,1962,13436827167
Brazil,South America,1962,19231747852
Canada,North America,1962,42336211556
China,Asia,1962,47310737754
Egypt,Africa,1962,4035462027
France,Europe,1962,75196980365
Germany,Europe,1962,105895435234
India,Asia,1962,42161481858
Iran,Middle East,1962,4693566416
Italy,Europe,1962,52413872628
Japan,Asia,1962,64987857542
Mexico,North America,1962,15200000000
Netherlands,Europe,1962,15847582341
Nigeria,Africa,1962,4909399176
Pakistan,Asia,1962,4310163797
Saudi Arabia,Middle East,1962,2130606532
South Africa,Africa,1962,9813996074
South Korea,Asia,1962,2826923077
Spain,Europe,1962,16609632791
Sweden,Europe,1962,18794066990
Switzerland,Europe,1962,12989649694
Thailand,Asia,1962,3308912797
Türkiye,Middle East,1962,8922222222
United Kingdom,Europe,1962,81247564157
United States,North America,1962,603639413793
Argentina,South America,1963,18272123664
Australia,Oceania,1963,21573443452
Belgium,Europe,1963,14445805381
Brazil,South America,1963,23287712878
Canada,North America,1963,45140337827
China,Asia,1963,50812227919
Egypt,Africa,1963,4187146232
France,Europe,1963,84227606650
Germany,Europe,1963,112232503744
India,Asia,1963,48421923459
Iran,Middle East,1963,4928628018
Italy,Europe,1963,60035924618
Japan,Asia,1963,74379284603
Mexico,North America,1963,16960000000
Netherlands,Europe,1963,17193744109
Nigeria,Africa,1963,5165590254
Pakistan,Asia,1963,4630827383
Saudi Arabia,Middle East,1963,2207393172
South Africa,Africa,1963,10854195658
South Korea,Asia,1963,4007692308
Spain,Europe,1963,19631714760
Sweden,Europe,1963,20342131882
Switzerland,Europe,1963,14283872299
Thailand,Asia,1963,3540403457
Türkiye,Middle East,1963,10355555556
United Kingdom,Europe,1963,86561961812
United States,North America,1963,637058551724
Argentina,South America,1964,25605249382
Australia,Oceania,1964,23835843814
Belgium,Europe,1964,16168044450
Brazil,South America,1964,20963733695
Canada,North America,1964,49503663836
China,Asia,1964,59821862703
Egypt,Africa,1964,4709245762
France,Europe,1964,93424179943
Germany,Europe,1964,123330404665
India,Asia,1964,56480289941
Iran,Middle East,1964,5379845648
Italy,Europe,1964,65720771779
Japan,Asia,1964,87490590818
Mexico,North America,1964,20080000000
Netherlands,Europe,1964,20232048553
Nigeria,Africa,1964,5552931319
