company,model,rating,date
Anthropic,Claude v1,1224.0,1683504000
OpenAI,GPT-3.5 Turbo,1155.0,1683504000
LMSYS,Vicuna 13B,1083.0,1683504000
UC Berkeley,Koala 13B,1022.0,1683504000
RWKV,RWKV-4 Raven 14B,989.0,1683504000
OpenAssistant,OpenAssistant Pythia 12B,928.0,1683504000
Z.ai,ChatGLM 6B,918.0,1683504000
Stability AI,StableLM Alpha 7B,906.0,1683504000
Stanford,Alpaca 13B,904.0,1683504000
Databricks,Dolly v2 12B,863.0,1683504000
Meta,Llama 13B,826.0,1683504000
Anthropic,Claude v1,1195.0,1684713600
OpenAI,GPT-3.5 Turbo,1143.0,1684713600
LMSYS,Vicuna 13B,1054.0,1684713600
Google,PaLM 2,1042.0,1684713600
UC Berkeley,Koala 13B,980.0,1684713600
Databricks,MPT 7B,952.0,1684713600
Stanford,Alpaca 13B,937.0,1684713600
RWKV,RWKV-4 Raven 14B,928.0,1684713600
OpenAssistant,OpenAssistant Pythia 12B,921.0,1684713600
Z.ai,ChatGLM 6B,921.0,1684713600
Stability AI,StableLM Alpha 7B,882.0,1684713600
Meta,Llama 13B,854.0,1684713600
Anthropic,Claude v1,1178.0,1687132800
OpenAI,GPT-3.5 Turbo,1130.0,1687132800
Meta,Guanaco 33B,1065.0,1687132800
LMSYS,Vicuna 13B,1061.0,1687132800
Microsoft,WizardLM 13B,1048.0,1687132800
Google,PaLM 2,1038.0,1687132800
UC Berkeley,Koala 13B,992.0,1687132800
Nomic AI,GPT4All 13B,986.0,1687132800
Databricks,MPT 7B,956.0,1687132800
RWKV,RWKV-4 Raven 14B,950.0,1687132800
Stanford,Alpaca 13B,930.0,1687132800
OpenAssistant,OpenAssistant Pythia 12B,924.0,1687132800
Z.ai,ChatGLM 6B,905.0,1687132800
Stability AI,StableLM Alpha 7B,871.0,1687132800
Anthropic,Claude v1,1169.0,1689552000
OpenAI,GPT-3.5 Turbo,1124.0,1689552000
LMSYS,Vicuna 33B,1096.0,1689552000
Databricks,MPT 30B,1049.0,1689552000
Meta,Guanaco 33B,1044.0,1689552000
Microsoft,WizardLM 13B,1043.0,1689552000
Google,PaLM 2,1019.0,1689552000
UC Berkeley,Koala 13B,987.0,1689552000
Nomic AI,GPT4All 13B,971.0,1689552000
RWKV,RWKV-4 Raven 14B,946.0,1689552000
Stanford,Alpaca 13B,926.0,1689552000
OpenAssistant,OpenAssistant Pythia 12B,919.0,1689552000
Z.ai,ChatGLM 6B,904.0,1689552000
Stability AI,StableLM Alpha 7B,867.0,1689552000
Anthropic,Claude 1,1166.0,1690934400
OpenAI,GPT-3.5 Turbo,1122.0,1690934400
LMSYS,Vicuna 33B,1096.0,1690934400
Databricks,MPT 30B,1046.0,1690934400
Microsoft,WizardLM 13B,1040.0,1690934400
Meta,Guanaco 33B,1038.0,1690934400
Google,PaLM 2,1015.0,1690934400
UC Berkeley,Koala 13B,983.0,1690934400
Nomic AI,GPT4All 13B,967.0,1690934400
RWKV,RWKV-4 Raven 14B,943.0,1690934400
Stanford,Alpaca 13B,923.0,1690934400
OpenAssistant,OpenAssistant Pythia 12B,915.0,1690934400
Z.ai,ChatGLM 6B,900.0,1690934400
Stability AI,StableLM Alpha 7B,863.0,1690934400
Anthropic,Claude 1,1161.0,1693872000
OpenAI,GPT-3.5 Turbo,1118.0,1693872000
LMSYS,Vicuna 33B,1097.0,1693872000
Meta,Llama 2 70B,1060.0,1693872000
Microsoft,WizardLM 13B,1046.0,1693872000
Databricks,MPT 30B,1043.0,1693872000
Google,PaLM 2,1008.0,1693872000
UC Berkeley,Koala 13B,979.0,1693872000
Z.ai,ChatGLM2 6B,965.0,1693872000
Nomic AI,GPT4All 13B,964.0,1693872000
RWKV,RWKV-4 Raven 14B,939.0,1693872000
Stanford,Alpaca 13B,919.0,1693872000
OpenAssistant,OpenAssistant Pythia 12B,911.0,1693872000
Stability AI,StableLM Alpha 7B,859.0,1693872000
Anthropic,Claude 1,1155.0,1696204800
OpenAI,GPT-3.5 Turbo,1115.0,1696204800
Microsoft,WizardLM 70B,1099.0,1696204800
LMSYS,Vicuna 33B,1092.0,1696204800
Meta,Llama 2 70B,1051.0,1696204800
Databricks,MPT 30B,1039.0,1696204800
Mistral AI,Mistral 7B,1031.0,1696204800
Google,PaLM 2,1002.0,1696204800
UC Berkeley,Koala 13B,973.0,1696204800
Nomic AI,GPT4All 13B,959.0,1696204800
Z.ai,ChatGLM2 6B,945.0,1696204800
RWKV,RWKV-4 Raven 14B,933.0,1696204800
Stanford,Alpaca 13B,914.0,1696204800
OpenAssistant,OpenAssistant Pythia 12B,905.0,1696204800
Stability AI,StableLM Alpha 7B,853.0,1696204800
Anthropic,Claude 1,1153.0,1699401600
OpenAI,GPT-3.5 Turbo,1109.0,1699401600
Microsoft,WizardLM 70B,1096.0,1699401600
